Full Course Info,Subject,Course,Title,Prerequisites
ELED 6263 - Anti-Racist Activism in Educ,ELED,6263,Anti-Racist Activism in Educ,ELED 6260 and ELED 6261 and ELED 6262
ELET 2241 - Instrumentation and Controls,ELET,2241,Instrumentation and Controls,ETEL 2101 or ETGR 2106
ELET 3232 - Adv Microcontroller Systems,ELET,3232,Adv Microcontroller Systems,ELET 1102 and ELET 2231
ELET 3242 - Fundamentals Control Systems,ELET,3242,Fundamentals Control Systems,ELET 3113
EMGT 5114 - Production Control Systems,EMGT,5114,Production Control Systems,EMGT 5202
EMGT 5141 - Engr Experimental Design,EMGT,5141,Engr Experimental Design,EMGT 5202
EMGT 5170 - Total Quality Systems,EMGT,5170,Total Quality Systems,EMGT 5202
EMGT 5202 - Stochastic System Analysis,EMGT,5202,Stochastic System Analysis,EMGT 5201
EMGT 6965 - Energy Analytics,EMGT,6965,Energy Analytics,EMGT 5202
EMGT 6985 - Engineering Mgmt Project,EMGT,6985,Engineering Mgmt Project,EMGT 6980
ENGL 3201 - Intermediate Poetry Writing,ENGL,3201,Intermediate Poetry Writing,ENGL 2125 or ENGL 2126 or ENGL 2127 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
ENGL 3202 - Intermediate Fiction Writing,ENGL,3202,Intermediate Fiction Writing,ENGL 2125 or ENGL 2126 or ENGL 2127 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
ENGL 4202 - Advanced Poetry Writing,ENGL,4202,Advanced Poetry Writing,ENGL 2126 or ENGL 2127 or ENGL 2125 or ENGL 2200 or ENGL 2201 or ENGL 2202
ENGL 4203 - Advanced Fiction Writing,ENGL,4203,Advanced Fiction Writing,ENGL 2126 or ENGL 2125 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
ENGL 4206 - Writing Creative Nonfiction,ENGL,4206,Writing Creative Nonfiction,ENGL 2125 or ENGL 2126 or ENGL 2127 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
ENGL 4209 - Fiction Writing Workshop,ENGL,4209,Fiction Writing Workshop,ENGL 2125 or ENGL 2126 or ENGL 2128 or ENGL 2200 or ENGL 2201 or ENGL 2202
ENGL 4254 - Tch Engl/Comm Skills MDSK Lrnr,ENGL,4254,Tch Engl/Comm Skills MDSK Lrnr,MDLG 3130 or SECD 4140 and MDSK 3100 and MDSK 3151 and MDSK 4210
ENGL 5181 - Writing User Documents,ENGL,5181,Writing User Documents,ENGL 2116
ENGL 5254 - Tch En/Comm Skills Middle Sec,ENGL,5254,Tch En/Comm Skills Middle Sec,MDSK 6162 and (MDSK 6162L or MDSK 6163) and MDSK 5204
ENGL 6495 - Internship in College Teaching,ENGL,6495,Internship in College Teaching,ENGL 6195
ENGR 1201 - Intro to Engr Pract & Princ I,ENGR,1201,Intro to Engr Pract & Princ I,MATH 1103 or Test MPLC or MATH 1241 or MATH 1242 or MATH 2241
ENGR 1202 - Intro Engr Pract & Prin II,ENGR,1202,Intro Engr Pract & Prin II,ENGR 1201 and MATH 1241
ENGR 3790 - Engineering Honors Seminar I,ENGR,3790,Engineering Honors Seminar I,ECGR 3253 or ECGR 4241 or ECGR 4251 or ETGR 4100 or MEGR 3255 or MEGR 3275 or MEGR 3355 or MEGR 3455 or SEGR 3290
ENGR 3791 - Engineering Honors Seminar II,ENGR,3791,Engineering Honors Seminar II,ENGR 3790 and (CEGR 3201 or CMET 4272 or ECGR 3254 or ECGR 4242 or ECGR 4252 or ETCE 4272 or ETGR 4200 or MEGR 3256 or MEGR 3276 or MEGR 3356 or MEGR 3456 or SEGR 3291)
ENVE 3111 - Construction Engineering,ENVE,3111,Construction Engineering,CEGR 3141
EPID 8274 - Adv Methods in Epidemiology,EPID,8274,Adv Methods in Epidemiology,HLTH 6211
EPID 8275 - Spatial Epidemiology,EPID,8275,Spatial Epidemiology,HLTH 8270
ESCI 2210 - Field Meth in Earth & Env Sci,ESCI,2210,Field Meth in Earth & Env Sci,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L and ESCI 1101L
ESCI 2222 - Environmental Science,ESCI,2222,Environmental Science,ESCI 1101 and ESCI 1501
ESCI 3000 - Topics in Earth Sciences,ESCI,3000,Topics in Earth Sciences,ESCI 1101 or GEOL 1200 and GEOL 1200L
ESCI 3101 - Global Environmental Change,ESCI,3101,Global Environmental Change,ESCI 1101 or METR 1102
ESCI 3205 - Water Resources,ESCI,3205,Water Resources,ESCI 2222
ESCI 4000 - Topics in Earth Sciences,ESCI,4000,Topics in Earth Sciences,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
ESCI 4122 - Statistics in Earth Sciences,ESCI,4122,Statistics in Earth Sciences,STAT 1220 or STAT 1221 or STAT 1222 or MATH 2122 or STAT 2122 or MATH 3122 or STAT 3122
ESCI 4190 - Cont. Environmental Issues,ESCI,4190,Cont. Environmental Issues,ESCI 2222
ESCI 4600 - Earth & Env Sciences Seminar,ESCI,4600,Earth & Env Sciences Seminar,(ESCI 1101 or ESCI 1101X) and ESCI 1101L and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
ESCI 5000 - Topics in Earth Sciences,ESCI,5000,Topics in Earth Sciences,ESCI 1101 and (GEOL 1200 or GEOL 1200X) and GEOL 1200L
ESCI 5222 - Watershed Science,ESCI,5222,Watershed Science,ESCI 5140
ESCI 1101L - Earth Science - Geography Lab,ESCI,1101L,Earth Science - Geography Lab,ESCI 1101
ETCE 1211 - Construction Surveying I,ETCE,1211,Construction Surveying I,MATH 1103 and ETCE 1104
ETCE 2410 - Intro Environ Engr Tech,ETCE,2410,Intro Environ Engr Tech,MATH 1103 and ETGR 2101
ETCE 3163 - Structural Analysis & Design I,ETCE,3163,Structural Analysis & Design I,ETGR 2102
