Full Course Info,Subject,Course,Title,Prerequisites
HLTH 4400 - Public Health Internship,HLTH,4400,Public Health Internship,HLTH 3400
HLTH 6226 - Community Health Methods,HLTH,6226,Community Health Methods,HLTH 6211
HLTH 6227 - Community Hlth Plan & Eval,HLTH,6227,Community Hlth Plan & Eval,HLTH 6212
HLTH 6230 - Comm Health Practice Capstone,HLTH,6230,Comm Health Practice Capstone,HLTH 6471
HLTH 6250 - Health Policy Capstone,HLTH,6250,Health Policy Capstone,HLTH 6471
HLTH 6270 - Epidemiologic Methods,HLTH,6270,Epidemiologic Methods,HLTH 6211
HLTH 6280 - Epidemiology Capstone Course,HLTH,6280,Epidemiology Capstone Course,HLTH 6471
HLTH 8282 - Health Survey Design & Rsch,HLTH,8282,Health Survey Design & Rsch,HLTH 8201
HONR 3700 - Honors College Topics,HONR,3700,Honors College Topics,LBST 2301
HPSY 8103 - Basic Qnt Analyses for Bhv Sci,HPSY,8103,Basic Qnt Analyses for Bhv Sci,PSYC 8102 or HPSY 8102
HPSY 8150 - Intro to Psych Treatment,HPSY,8150,Intro to Psych Treatment,PSYC 8151 or HPSY 8151
HPSY 8255 - Community Interventions,HPSY,8255,Community Interventions,PSYC 8155 or HPSY 8155
HPSY 8262 - Practicum in Health Psychology,HPSY,8262,Practicum in Health Psychology,HPSY 8200
HPSY 8450 - Practicum in Clinical Psyc,HPSY,8450,Practicum in Clinical Psyc,PSYC 8150 or HPSY 8150
HSMT 3104 - Health Information Systems,HSMT,3104,Health Information Systems,HSMT 2101 and (HSMT 2104 or HSMT 3103)
HSMT 3201 - Hlth Syst Leadership & Ethics,HSMT,3201,Hlth Syst Leadership & Ethics,HSMT 2101 and HSMT 2103 and (HSMT 2104 or HSMT 3103)
HSMT 3203 - Intro Accounting & Finance,HSMT,3203,Intro Accounting & Finance,HSMT 2101 and (HSMT 2104 or HSMT 3103)
HSMT 3204 - Health Org Behavior,HSMT,3204,Health Org Behavior,HSMT 2101 and HSMT 2103 and (HSMT 2104 or HSMT 3103)
HSMT 4201 - Health Policy & Law,HSMT,4201,Health Policy & Law,HSMT 3201
HSMT 4202 - Quality Management,HSMT,4202,Quality Management,(HSMT 3104 or HSMT 4103) and (HSMT 3204 or HSMT 4101)
HSMT 4600 - Health Systems Capstone,HSMT,4600,Health Systems Capstone,HSMT 2101 and HSMT 2103 and (HSMT 3104 or HSMT 4103) and (HSMT 3204 or HSMT 4101) and HSMT 3203 and HSMT 3201 and (HSMT 2104 or HSMT 3103)
"HSRD 8261 - Hlthcre Prg Evl, Outcms & Qual",HSRD,8261,"Hlthcre Prg Evl, Outcms & Qual",HLTH 8270
INES 8998 - Doctoral Research,INES,8998,Doctoral Research,INES 8999
INFO 3130 - Management Info Systems,INFO,3130,Management Info Systems,(MATH 1120 or MATH 1241 or MATH 1242) and (STAT 1220 or STAT 1221 or STAT 1222) and ACCT 2121 and (ACCT 2122 or ACCT 3323) and (ECON 1201 or ECON 2101) and (ECON 1202 or ECON 2102) and INFO 2130
INFO 3221 - Programming for Bus Analytics,INFO,3221,Programming for Bus Analytics,INFO 2130
INFO 3231 - Busn Applications Development,INFO,3231,Busn Applications Development,INFO 2130
INFO 3233 - Data and Information Mgmt,INFO,3233,Data and Information Mgmt,INFO 3130
INFO 3234 - Busn Info Sys Analysis & Dsgn,INFO,3234,Busn Info Sys Analysis & Dsgn,INFO 3233
INFO 3237 - Business Analytics II,INFO,3237,Business Analytics II,INFO 3221 and INFO 3233 and INFO 3236
INFO 3238 - Social Media Analytics and App,INFO,3238,Social Media Analytics and App,INFO 3130
INTL 4701 - Honors Research,INTL,4701,Honors Research,INTL 4601
ITCS 3050 - Topics in Computer Science,ITCS,3050,Topics in Computer Science,ITSC 1212
ITCS 3112 - Dsgn & Imp Object-oriented Sys,ITCS,3112,Dsgn & Imp Object-oriented Sys,ITSC 2214 or ITCS 2214
ITCS 3120 - Intro Interactive Comp Graphic,ITCS,3120,Intro Interactive Comp Graphic,(ITCS 2214 or ITSC 2214) and MATH 2164
ITCS 3153 - Intro Artificial Intelligence,ITCS,3153,Intro Artificial Intelligence,MATH 2164 and ITSC 2214
ITCS 3156 - Intro to Machine Learning,ITCS,3156,Intro to Machine Learning,ITSC 2214 and MATH 2164
ITCS 3160 - Database Design & Implem,ITCS,3160,Database Design & Implem,ITSC 1213 or ITCS 1213 or ITIS 1213
ITCS 3162 - Introduction to Data Mining,ITCS,3162,Introduction to Data Mining,ITSC 2214 or ITCS 2214
ITCS 3166 - Intro to Computer Networks,ITCS,3166,Intro to Computer Networks,ITSC 1213 or ITCS 1213 or ITIS 1213
ITCS 3190 - Intro Cloud Comp Data Analysis,ITCS,3190,Intro Cloud Comp Data Analysis,ITSC 2214 or ITCS 2214
ITCS 3216 - Intro to Cognitive Science,ITCS,3216,Intro to Cognitive Science,PSYC 1101
ITCS 4010 - Topics in Computer Science,ITCS,4010,Topics in Computer Science,ITSC 2214
ITCS 4102 - Programming Languages,ITCS,4102,Programming Languages,ITSC 2214 or ITCS 2214
ITCS 4114 - Real World Algorithms,ITCS,4114,Real World Algorithms,ITSC 2214 and ITSC 2175
ITCS 4122 - Visual Analytics,ITCS,4122,Visual Analytics,STAT 1220 or STAT 1221 or STAT 1222 or STAT 2122 or STAT 2223
ITCS 4141 - Computer System & Architecture,ITCS,4141,Computer System & Architecture,ITSC 3146
ITCS 4145 - Parallel Programming,ITCS,4145,Parallel Programming,ITSC 3146
ITCS 4151 - Intelligent Robotics,ITCS,4151,Intelligent Robotics,(ITCS 2214 or ITSC 2214) and MATH 2164
ITCS 4152 - Intro. to Computer Vision,ITCS,4152,Intro. to Computer Vision,ITCS 3156
ITCS 4180 - Mobile Application Development,ITCS,4180,Mobile Application Development,ITCS 2214 or ITSC 2214
ITCS 4230 - Intro to Game Design & Dvlpmnt,ITCS,4230,Intro to Game Design & Dvlpmnt,ITSC 2214 or ITCS 2214
ITCS 4231 - Adv Game Design & Develpmnt,ITCS,4231,Adv Game Design & Develpmnt,ITCS 4230
ITCS 4232 - Game Design & Dvlpmnt Studio,ITCS,4232,Game Design & Dvlpmnt Studio,ITSC 3155 and ITCS 4231
ITCS 5231 - Adv Game Design & Development,ITCS,5231,Adv Game Design & Development,ITCS 5230
ITCS 5232 - Game Design & Dvlpmnt Studio,ITCS,5232,Game Design & Dvlpmnt Studio,ITCS 5120 and ITCS 5231
ITCS 6190 - Cloud Comp for Data Analysis,ITCS,6190,Cloud Comp for Data Analysis,ITCS 6114
ITCS 8160 - Database Systems,ITCS,8160,Database Systems,ITCS 8114
ITCS 8190 - Cloud Comp for Data Analysis,ITCS,8190,Cloud Comp for Data Analysis,ITCS 8114
ITIS 3135 - Web App Design and Development,ITIS,3135,Web App Design and Development,ITSC 2214 or ITCS 2214
ITIS 3200 - Intro to Info Security & Priv,ITIS,3200,Intro to Info Security & Priv,ITSC 2214 or ITCS 2214
ITIS 3216 - Intro to Cognitive Science,ITIS,3216,Intro to Cognitive Science,PSYC 1101
ITIS 3246 - IT Infrast and SEC,ITIS,3246,IT Infrast and SEC,ITSC 3146
ITIS 3300 - Software Req & Project Mgmt,ITIS,3300,Software Req & Project Mgmt,ITIS 2300 or ITIS 3135
ITIS 3310 - Software Arch & Design,ITIS,3310,Software Arch & Design,ITCS 2214 or ITSC 2214
ITIS 3320 - Intro Software Testing & Assur,ITIS,3320,Intro Software Testing & Assur,ITIS 3200 and ITIS 3300
ITIS 4166 - Network Based App Dvlpment,ITIS,4166,Network Based App Dvlpment,(ITIS 2300 or ITIS 3135) and ITCS 3160
ITIS 4180 - Mobile Application Development,ITIS,4180,Mobile Application Development,ITCS 2214 or ITSC 2214
ITIS 4221 - Secure Prog Penetr Testing,ITIS,4221,Secure Prog Penetr Testing,(ITIS 3135 or ITIS 2300)
ITIS 4246 - Competitive Cyber Defense,ITIS,4246,Competitive Cyber Defense,ITIS 3200 and ITIS 3246
ITIS 4250 - Computer Forensics,ITIS,4250,Computer Forensics,ITIS 2300 or ITIS 3135
ITIS 4260 - Intro to Security Analytics,ITIS,4260,Intro to Security Analytics,ITIS 3200 and ITSC 3146 and (STAT 1220 or STAT 1222 or STAT 1221 or STAT 2122)
ITIS 4261 - Introduction to Secured Cloud,ITIS,4261,Introduction to Secured Cloud,ITSC 3146
ITIS 4390 - Interaction Design Projects,ITIS,4390,Interaction Design Projects,ITIS 3130 and ITIS 3135
ITIS 5221 - Secure Prog Penetr Testing,ITIS,5221,Secure Prog Penetr Testing,ITIS 4166 or ITIS 5166
ITIS 5260 - Intro to Security Analytics,ITIS,5260,Intro to Security Analytics,ITIS 6200
ITIS 5261 - Intro Sec Cloud Comp,ITIS,5261,Intro Sec Cloud Comp,ITSC 3146
ITIS 5390 - Interaction Design Projects,ITIS,5390,Interaction Design Projects,ITIS 6400
ITIS 6162 - Knowledge Disc in Databases,ITIS,6162,Knowledge Disc in Databases,ITCS 6160 or ITIS 6120
ITIS 6177 - System Integration,ITIS,6177,System Integration,ITIS 5166
ITIS 6220 - Data Privacy,ITIS,6220,Data Privacy,ITIS 6200
ITIS 6230 - Infrastructure Protection,ITIS,6230,Infrastructure Protection,ITIS 6200
ITIS 6330 - Malware Analysis,ITIS,6330,Malware Analysis,ITIS 6200
ITLN 1202 - Elementary Italian II,ITLN,1202,Elementary Italian II,ITLN 1201
ITLN 3202 - Italian Grammar & Composition,ITLN,3202,Italian Grammar & Composition,ITLN 3201
ITSC 1213 - Intro to Computer Science II,ITSC,1213,Intro to Computer Science II,(ITSC 1212 or ITCS 1212 or ITIS 1212 or DTSC 1302) and (MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1241)
ITSC 2175 - Logic and Algorithms,ITSC,2175,Logic and Algorithms,(ITSC 1212 or ITCS 1212 or DTSC 1302) and (MATH 1120 or MATH 1241)
ITSC 2181 - Intro to Computer Systems,ITSC,2181,Intro to Computer Systems,(ITSC 1212 or ITCS 1212) or DTSC 1302
ITSC 2214 - Data Structures and Algorithms,ITSC,2214,Data Structures and Algorithms,ITSC 1213 or ITCS 1213 or ITIS 1213
ITSC 3146 - Intro Oper Syst & Networking,ITSC,3146,Intro Oper Syst & Networking,(ITSC 2214 or ITCS 2214) and ITSC 2181
ITSC 3155 - Software Engineering,ITSC,3155,Software Engineering,ITSC 2214 or ITCS 2214
ITSC 4155 - Software Development Projects,ITSC,4155,Software Development Projects,(ITSC 2214 or ITCS 2214) and (ITSC 3155 or ITIS 3300 or ITIS 3310 or ITCS 3155)
ITSC 4851 - Senior Project II,ITSC,4851,Senior Project II,ITSC 4850
JAPN 1202 - Elementary Japanese II,JAPN,1202,Elementary Japanese II,JAPN 1201
JAPN 2201 - Intermediate Japanese I,JAPN,2201,Intermediate Japanese I,JAPN 1202
JAPN 2202 - Intermediate Japanese II,JAPN,2202,Intermediate Japanese II,JAPN 2201
JAPN 3060 - Topics in Japanese Film,JAPN,3060,Topics in Japanese Film,WRDS 1103 or WRDS 1104 or UWRT 1103 or UWRT 1104 or ENGL 1103
JAPN 3101 - Kanji through Reading,JAPN,3101,Kanji through Reading,JAPN 2202
JAPN 3201 - Upper Intermediate Japanese I,JAPN,3201,Upper Intermediate Japanese I,JAPN 2202
JAPN 3202 - Upper Intermediate Japanese II,JAPN,3202,Upper Intermediate Japanese II,JAPN 3201
JAPN 3203 - Upper Intermed. Japanese III,JAPN,3203,Upper Intermed. Japanese III,JAPN 2202
JAPN 3400 - Teaching Practicum,JAPN,3400,Teaching Practicum,JAPN 3201 or JAPN 3202 or JAPN 3203
JAPN 4040 - Advanced Topics in Japanese,JAPN,4040,Advanced Topics in Japanese,JAPN 3040 or JAPN 3130 or JAPN 3140 or JAPN 3060
JAPN 4207 - Business Japanese Writing,JAPN,4207,Business Japanese Writing,JAPN 3201 or JAPN 3202 or JAPN 3203
JAPN 4410 - Prof Internship in Japanese,JAPN,4410,Prof Internship in Japanese,JAPN 3201 and JAPN 3202
JOUR 2160 - Intro to Journalism,JOUR,2160,Intro to Journalism,JOUR 2100
JOUR 3050 - Topics in Journalism,JOUR,3050,Topics in Journalism,JOUR 2160
JOUR 3160 - Adv News Reporting & Writing,JOUR,3160,Adv News Reporting & Writing,JOUR 2160
JOUR 3161 - News Editing,JOUR,3161,News Editing,JOUR 2160
JOUR 3162 - Feature Writing,JOUR,3162,Feature Writing,JOUR 2160
JOUR 4410 - Professional Internship,JOUR,4410,Professional Internship,JOUR 3160 or JOUR 3162
KNES 4431 - Outdoor Adv Leadership Pract,KNES,4431,Outdoor Adv Leadership Pract,KNES 3230 or KNES 3235
KNES 6900 - Rsrch & Thesis in Kinesiology,KNES,6900,Rsrch & Thesis in Kinesiology,KNES 6115 or KNES 5115
LACS 4410 - Professional Internship,LACS,4410,Professional Internship,(ARBC 3201 and ARBC 3202) or (CHNS 3201 and CHNS 3202) or (FREN 3201 and FREN 3202) or (GERM 3201 and GERM 3202) or (ITLN 3201 and ITLN 3202) or (JAPN 3201 and JAPN 3202) or (PORT 3201 and PORT 3202) or (RUSS 3201 and RUSS 3202) or (SPAN 3201 and SPAN 3202)
LACS 4700 - Honors Project,LACS,4700,Honors Project,LACS 3700
LTAM 3310 - SPAN AMERICAN CIV AND CULTURE,LTAM,3310,SPAN AMERICAN CIV AND CULTURE,SPAN 3201 and SPAN 3202 and SPAN 3203
"LTAM 4316 - Soc, Pol, Cult, Econ Hisp Lit",LTAM,4316,"Soc, Pol, Cult, Econ Hisp Lit",(SPAN 3211 or SPAN 4208) or (SPAN 3212 or SPAN 4209) or (LTAM 3312 or LTAM 4309)
MAED 3224 - Teach Math Elem Sch 3-6,MAED,3224,Teach Math Elem Sch 3-6,MAED 3222
MAED 5252 - Teach Math Sec Sch Learn,MAED,5252,Teach Math Sec Sch Learn,MDSK 5204 and MDSK 6162 and (MDSK 6162L or MDSK 6163)
MATH 1103 - Precalc Math Science & Engr,MATH,1103,Precalc Math Science & Engr,Test MPLC or MATH 1100 or MATH 1101
MATH 1120 - Calculus,MATH,1120,Calculus,Test MPLC or MATH 1100 or MATH 1101 or MATH 1103
MATH 1121 - Calculus-Engr Tech,MATH,1121,Calculus-Engr Tech,MATH 1103 or Test A02 or Test MPLC
MATH 1241 - Calculus I,MATH,1241,Calculus I,Test MPLC or MATH 1103
MATH 1242 - Calculus II,MATH,1242,Calculus II,MATH 1241 or ENGR 1241
MATH 1340 - Math for Elem Teachers I,MATH,1340,Math for Elem Teachers I,Test MPLC
MATH 1341 - Math for Elem Teachers II,MATH,1341,Math for Elem Teachers II,MATH 1340
MATH 2120 - Inter Applied Calculus,MATH,2120,Inter Applied Calculus,MATH 1120 or MATH 1241 or ENGR 1241
MATH 2164 - Matrices & Linear Algebra,MATH,2164,Matrices & Linear Algebra,MATH 1120 or (MATH 1241 or ENGR 1241)
MATH 2165 - Intro to Discrete Structures,MATH,2165,Intro to Discrete Structures,(ECGR 2103 or ITSC 1212) and MATH 1241
MATH 2167 - Intro to Math Reasoning,MATH,2167,Intro to Math Reasoning,MATH 1242 or MATH 2120 and MATH 2164
MATH 2171 - Differential Equations,MATH,2171,Differential Equations,MATH 1242
MATH 2241 - Calculus III,MATH,2241,Calculus III,MATH 1242
MATH 2242 - Calculus IV,MATH,2242,Calculus IV,MATH 2241
MATH 2340 - Number Concepts & Relationship,MATH,2340,Number Concepts & Relationship,MATH 1100 or MATH 1101 or MATH 1103
MATH 2342 - Data Analysis & Probability,MATH,2342,Data Analysis & Probability,STAT 1220 or STAT 1222
MATH 3122 - Probability & Statistics I,MATH,3122,Probability & Statistics I,MATH 2241
MATH 3123 - Probability & Statistics II,MATH,3123,Probability & Statistics II,MATH 3122 or STAT 3122
MATH 3141 - Adv Calculus of One Variable,MATH,3141,Adv Calculus of One Variable,MATH 2241 and MATH 2164
MATH 3142 - Adv Calc of Several Variables,MATH,3142,Adv Calc of Several Variables,MATH 3141
MATH 3163 - Intro to Modern Algebra,MATH,3163,Intro to Modern Algebra,MATH 1242 and MATH 2164
MATH 3166 - Combinatorics,MATH,3166,Combinatorics,MATH 2164
MATH 3180 - Predictive Analytics,MATH,3180,Predictive Analytics,MATH 1242 or STAT 1220 or STAT 1222
MATH 3181 - Fund Concepts of Geometry,MATH,3181,Fund Concepts of Geometry,MATH 2164
MATH 3227 - Math Theory of Interest,MATH,3227,Math Theory of Interest,MATH 1242 or MATH 1120
MATH 3228 - Financial Math,MATH,3228,Financial Math,MATH 2228 or MATH 3227
MATH 3800 - Directed Individual Study MATH,MATH,3800,Directed Individual Study MATH,MATH 1242
MATH 4051 - Comp Expl & Generation of Data,MATH,4051,Comp Expl & Generation of Data,(MATH 2120 or MATH 2241) and (STAT 2122 or STAT 2223 or STAT 3123)
MATH 4109 - Hist of Mathematical Thought,MATH,4109,Hist of Mathematical Thought,MATH 1241 or ENGR 1241
MATH 4164 - Abstract Linear Algebra,MATH,4164,Abstract Linear Algebra,MATH 3163 and MATH 2164
MATH 4228 - Life Insurance Mathematics,MATH,4228,Life Insurance Mathematics,(MATH 3122 or STAT 3122) and MATH 3228
MATH 4229 - Advanced Life Insurance Math,MATH,4229,Advanced Life Insurance Math,MATH 4228 or MATH 3229
MATH 5144 - Analysis II,MATH,5144,Analysis II,MATH 5143
MATH 5229 - Advanced Life Insurance Math,MATH,5229,Advanced Life Insurance Math,MATH 5228 or MATH 4228
MATH 8144 - Real Analysis II,MATH,8144,Real Analysis II,MATH 8143 or MATH 7143
MBAD 5159 - Stu Managed Invest Fund II,MBAD,5159,Stu Managed Invest Fund II,(FINN 3120 or MBAD 6152) and (FINN 3222 or FINN 6153 or MBAD 6153)
MBAD 6112 - Econ of Business Decisions,MBAD,6112,Econ of Business Decisions,(MBAD 5110 or Test MBA1) and (MBAD 5141 or Test MBA4)
MBAD 6122 - Decision Modeling & Analysis,MBAD,6122,Decision Modeling & Analysis,(MBAD 5141 or Test MBA4) or MBAD 5142
MBAD 6131 - Fin & Mgrl Accounting,MBAD,6131,Fin & Mgrl Accounting,(MBAD 5131 or Test MBA3)
MBAD 6141 - Operations Management,MBAD,6141,Operations Management,Test MBA4( or MBAD 5141)
MBAD 6152 - Financial Management,MBAD,6152,Financial Management,MBAD 6112 and MBAD 6131
MBAD 6153 - Investment Management,MBAD,6153,Investment Management,MBAD 6152
MBAD 6155 - Multinational Fin Mgmt,MBAD,6155,Multinational Fin Mgmt,MBAD 6152
MBAD 6160 - Real Estate Capital Markets,MBAD,6160,Real Estate Capital Markets,MBAD 6152
MBAD 6161 - Human Behavior Organizations,MBAD,6161,Human Behavior Organizations,MBAD 5110 and MBAD 5131 and MBAD 5141 and MBAD 5191
MBAD 6194 - Global Strategic Management,MBAD,6194,Global Strategic Management,MBAD 6112 and MBAD 6131 and MBAD 6141 and MBAD 6152 and MBAD 6161
MBAD 6201 - Bus Intelligence & Analytics,MBAD,6201,Bus Intelligence & Analytics,(MBAD 5121 or Test MBA2)
MBAD 6207 - Business Project Management,MBAD,6207,Business Project Management,MBAD 6141 and (MBAD 5121 or Test MBA2)
MBAD 6211 - Advanced Business Analytics,MBAD,6211,Advanced Business Analytics,MBAD 6201 or ITCS 6162
MBAD 6271 - Consumer Behavior & Strategy,MBAD,6271,Consumer Behavior & Strategy,MBAD 6270 or MBAD 6171
MBAD 6273 - Product and Brand Strategy,MBAD,6273,Product and Brand Strategy,MBAD 6270
MBAD 6275 - Global Marketing Strategy,MBAD,6275,Global Marketing Strategy,MBAD 6270 or MBAD 6171
MBAD 6276 - Consumer Analytics,MBAD,6276,Consumer Analytics,MBAD 6270
MBAD 6279 - Design Thinking & Innovation,MBAD,6279,Design Thinking & Innovation,MBAD 6270
MDLG 3130 - Early Adolescent Learner,MDLG,3130,Early Adolescent Learner,MDSK 2100
MDSK 3252 - Differentiating Instruction,MDSK,3252,Differentiating Instruction,MDSK 3151
MDSK 4251 - Tch Science Mdl & Sec Sch Lrnr,MDSK,4251,Tch Science Mdl & Sec Sch Lrnr,(MDLG 3130 or SECD 4140) and MDSK 3100 and MDSK 3151 and MDSK 4210
MDSK 4253 - Teach SS to Mdl & Sec Sch Lrnr,MDSK,4253,Teach SS to Mdl & Sec Sch Lrnr,(MDLG 3130 or SECD 4140) and MDSK 3100 and MDSK 3151 and MDSK 4210
MDSK 4300 - Content Instruction/Assess,MDSK,4300,Content Instruction/Assess,MDSK 3151
MDSK 5251 - Teach Science to Sec Sch Lrnrs,MDSK,5251,Teach Science to Sec Sch Lrnrs,MDSK 5204 and MDSK 6162 and (MDSK 6162L or MDSK 6163)
MDSK 5253 - Teach Soc Stu Middle & Sec Sch,MDSK,5253,Teach Soc Stu Middle & Sec Sch,MDSK 6162 and (MDSK 6162L or MDSK 6163) and MDSK 5204
MDSK 5255 - CTE Methods,MDSK,5255,CTE Methods,MDSK 6162 and MDSK 5204 and (MDSK 6162L or MDSK 6163)
MDSK 5300 - Content Instruction/Assess,MDSK,5300,Content Instruction/Assess,MDSK 6162 and (MDSK 6162L or MDSK 6163) and MDSK 5204
MEGR 1100 - Found. Math and Sci. for Engr,MEGR,1100,Found. Math and Sci. for Engr,ENGR 1201
MEGR 2141 - Engineering Mechanics I,MEGR,2141,Engineering Mechanics I,PHYS 2101 and MATH 1242
MEGR 2144 - Intro to Solid Mechanics,MEGR,2144,Intro to Solid Mechanics,MEGR 2141
MEGR 2156 - Design Projects Lab I,MEGR,2156,Design Projects Lab I,ENGR 1201 and ENGR 1202 and PHYS 2102 and MEGR 2141
MEGR 2180 - Manufacturing Systems,MEGR,2180,Manufacturing Systems,ENGR 1202 and PHYS 2102L and MEGR 2141
MEGR 2240 - Comput Meth for Engineers,MEGR,2240,Comput Meth for Engineers,MEGR 2141
MEGR 2289 - Intro to Precision Engineering,MEGR,2289,Intro to Precision Engineering,MEGR 2141
MEGR 3111 - Thermodynamics I,MEGR,3111,Thermodynamics I,MATH 2171 and PHYS 2101
MEGR 3112 - Thermodynamics II,MEGR,3112,Thermodynamics II,MEGR 3111
MEGR 3114 - Fluid Mechanics,MEGR,3114,Fluid Mechanics,MEGR 3121 and MATH 2241
MEGR 3116 - Intro to Heat Transfer,MEGR,3116,Intro to Heat Transfer,MATH 2171 and MEGR 3111 and MEGR 3114
MEGR 3121 - Dynamics Systems I,MEGR,3121,Dynamics Systems I,MEGR 2141 and MATH 1242
MEGR 3122 - Dynamic Systems II,MEGR,3122,Dynamic Systems II,MEGR 2240 and MEGR 3121 and MATH 2171
MEGR 3152 - Mechanics & Materials Lab,MEGR,3152,Mechanics & Materials Lab,MEGR 2144 and MEGR 3121 and MEGR 3161 and MEGR 3171L
MEGR 3156 - Design Project Lab II,MEGR,3156,Design Project Lab II,ECGR 2161 and MEGR 2144 and MEGR 2156 and MEGR 2180
MEGR 3161 - Intro to Engineering Materials,MEGR,3161,Intro to Engineering Materials,(CHEM 1251 or MEGR 1100) and MATH 2171 and MEGR 2144
MEGR 3171 - Intro to Measure & Instrum,MEGR,3171,Intro to Measure & Instrum,ECGR 2161 and MATH 2241
MEGR 3221 - Machine Analysis & Design I,MEGR,3221,Machine Analysis & Design I,MEGR 3121 and MEGR 2144
MEGR 3225 - Intro Finite Element Analysis,MEGR,3225,Intro Finite Element Analysis,MEGR 2144 and MEGR 2240 and MATH 2171
MEGR 3232 - Plastic Part Design,MEGR,3232,Plastic Part Design,ENGR 1202 and MEGR 2156
MEGR 3251 - Thermal/Fluids Lab,MEGR,3251,Thermal/Fluids Lab,MEGR 3111 and MEGR 3114 and MEGR 3171L
MEGR 3255 - Senior Design I,MEGR,3255,Senior Design I,MEGR 3156 and MEGR 3171L and MEGR 3152 and MEGR 3251
MEGR 3256 - Senior Design II,MEGR,3256,Senior Design II,MEGR 3255
MEGR 3272 - Bio-polymers and Composites,MEGR,3272,Bio-polymers and Composites,MEGR 3161
MEGR 3275 - Biomedical Engr Sr Design I,MEGR,3275,Biomedical Engr Sr Design I,MEGR 2279 and MEGR 3156 and MEGR 3171L and MEGR 3152 and MEGR 3251
MEGR 3282 - Stat Proc Cntrl & Metrology,MEGR,3282,Stat Proc Cntrl & Metrology,MEGR 2180
MEGR 3285 - Precision Senior Design I,MEGR,3285,Precision Senior Design I,MEGR 3152 and MEGR 3251 and MEGR 2289 and MEGR 3156 and MEGR 3171L
MEGR 3286 - Precision Senior Design II,MEGR,3286,Precision Senior Design II,MEGR 3285
MEGR 3355 - Motorsports Senior Design I,MEGR,3355,Motorsports Senior Design I,MEGR 2299 and MEGR 3156 and MEGR 3171L and MEGR 3152 and MEGR 3251
MEGR 3356 - Motorsports Senior Design II,MEGR,3356,Motorsports Senior Design II,MEGR 3355
MEGR 3455 - Energy Senior Design I,MEGR,3455,Energy Senior Design I,MEGR 2499 and MEGR 3156 and MEGR 3171L and MEGR 3152 and MEGR 3251
MEGR 3456 - Energy Senior Design II,MEGR,3456,Energy Senior Design II,MEGR 3455
MEGR 3695 - MEGR Co-Op Educ Sem,MEGR,3695,MEGR Co-Op Educ Sem,ENGR 3590 or ENGR 3500
MEGR 4235 - Waves and Optics,MEGR,4235,Waves and Optics,MATH 2171 and MEGR 3122
MEGR 4242 - Applied Vehicle Aerodynamics,MEGR,4242,Applied Vehicle Aerodynamics,MEGR 2240 and MEGR 3114
MEGR 4272 - Mech of Human Locomotor System,MEGR,4272,Mech of Human Locomotor System,MEGR 2144
MEGR 4274 - Bioelectronic Medicine,MEGR,4274,Bioelectronic Medicine,MEGR 2180 or MEGR 2156 or MEGR 2279
MEGR 4290 - Intro to EV and Batteries,MEGR,4290,Intro to EV and Batteries,MEGR 3121 and MEGR 3112
MEGR 7182 - Machine Tool Metrology,MEGR,7182,Machine Tool Metrology,MEGR 6181
MEGR 7213 - Intro to Comp Fluid Dyn,MEGR,7213,Intro to Comp Fluid Dyn,MATH 6171
MEGR 7283 - Adv Coordinate Metrology,MEGR,7283,Adv Coordinate Metrology,MEGR 6181
MEGR 8108 - Finite Element Analy & Appl,MEGR,8108,Finite Element Analy & Appl,MEGR 6141 and MATH 6171
MEGR 8142 - Theory of Elasticity II,MEGR,8142,Theory of Elasticity II,MEGR 6141 and MATH 6172
MEGR 8182 - Machine Tool Metrology,MEGR,8182,Machine Tool Metrology,MEGR 6181
MEGR 8213 - Intro to Comp Fluid Dyn,MEGR,8213,Intro to Comp Fluid Dyn,MATH 6171
MEGR 3171L - Instrumentation Lab,MEGR,3171L,Instrumentation Lab,PHYS 2102L
METR 3140 - Fundamentals of Meteorology,METR,3140,Fundamentals of Meteorology,METR 1102 or ESCI 1101
METR 3210 - Atmospheric Thermodynamics,METR,3210,Atmospheric Thermodynamics,METR 3140 and MATH 1242 and (MATH 1241 or ENGR 1241)
METR 3250 - Dynamic Meteorology,METR,3250,Dynamic Meteorology,METR 3245 and MATH 1242 and PHYS 2101
METR 3340 - Weather Communications,METR,3340,Weather Communications,METR 3245
METR 4105 - Meteorological Computer Apps,METR,4105,Meteorological Computer Apps,METR 3140 and MATH 1241
METR 4205 - Climate Dynamics,METR,4205,Climate Dynamics,ESCI 3101 and METR 4105
METR 4350 - Mesoscale Meteorology,METR,4350,Mesoscale Meteorology,METR 3250
METR 4650 - Meteorology Seminar,METR,4650,Meteorology Seminar,METR 3245
"MFPA 5132 - Fire & Bldg Codes,Stand & Prac",MFPA,5132,"Fire & Bldg Codes,Stand & Prac",ETFS 3103
MGMT 3140 - Mgmt & Org Behavior,MGMT,3140,Mgmt & Org Behavior,ACCT 2121 and (ACCT 2122 or ACCT 3323) and (ECON 2101 or ECON 1201) and (ECON 2102 or ECON 1202) and INFO 2130
MGMT 3241 - Acquiring & Maintaining HR,MGMT,3241,Acquiring & Maintaining HR,MGMT 3140
MGMT 3242 - Developing & Retaining HR,MGMT,3242,Developing & Retaining HR,MGMT 3140
