Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
,,4601,001,22457,1,Seminar in General Anthro,ANTH 3101 or ANTH 3601
,,4611,001,22458,1,Applied Senior Seminar,ANTH 3601 and ANTH 2171 and (ANTH 4122 or ANTH 4140 or ANTH 4453)
,,4702,001,24953,1,Honors Writing in Anthropology,ANTH 4701
,,6400,001,23373,1,Anthropology Practicum,ANTH 6611
,ARBC,1202,001,23555,1,Elementary Arabic II,ARBC 1201
,,2202,001,22271,1,Intermediate Arabic II,ARBC 2201
,,3202,001,21931,1,Advanced Arabic II,ARBC 3201
,ARCH,1102,001,20225,1,Comprehensive Studio,ARCH 1101
,,,002,20226,1,Comprehensive Studio,ARCH 1101
,,,003,20227,1,Comprehensive Studio,ARCH 1101
,,,004,20228,1,Comprehensive Studio,ARCH 1101
,,1602,001,22613,1,Writing Reading Thinking Archi,ARCH 1101
,,,002,22735,1,Writing Reading Thinking Arch,ARCH 1101
,,,003,22736,1,Writing Reading Thinking Arch,ARCH 1101
,,,004,22737,1,Writing Reading Thinking Arch,ARCH 1101
,,,005,24195,1,Writing Reading Thinking Arch,ARCH 1101
,,2102,001,20229,1,Comprehensive Studio,ARCH 2101
,,,002,20230,1,Comprehensive Studio,ARCH 2101
,,,003,20232,1,Comprehensive Studio,ARCH 2101
,,,004,22690,1,Comprehensive Studio,ARCH 2101
,,,005,26965,1,Comprehensive Studio,ARCH 2101
,,3102,001,20233,1,Architecture Design Studio,ARCH 3101
,,,002,20234,1,Architecture Design Studio,ARCH 3101
,,,003,20235,1,Architecture Design Studio,ARCH 3101
,,,004,22365,1,Architecture Design Studio,ARCH 3101
,,,005,24713,1,Architecture Design Studio,ARCH 3101
,,4102,001,22832,1,Arch Design Studio VIII: Topic,ARCH 4101
,,,002,24923,1,Arch Design Studio VIII: Topic,ARCH 4101
,,,003,24924,1,Arch Design Studio VIII: Topic,ARCH 4101
,,,004,24926,1,Arch Design Studio VIII: Topic,ARCH 4101
,,4202,001,20900,1,Arch Hist II: 1750-Present,ARCH 4201 or ARCH 4211
,,4204,001,21627,1,History/Theory Topics,ARCH 4202
,,,002,22160,1,History/Theory Topics,ARCH 4202
,,,003,24763,1,History/Theory Topics,ARCH 4202
,,,004,23268,1,History/Theory Topics,ARCH 4202
,,,006,27373,1,History/Theory Topics,ARCH 4202
,,,007,27375,1,History/Theory Topics,ARCH 4202
,,4302,001,21810,1,Environmental Syst Principles,ARCH 4301 or ARCH 4312
,,4304,001,20902,1,Structural Systems,ARCH 4301 or ARCH 4312 and ARCH 4303 or ARCH 4313
,,4605,001,21468,1,Computational Practice,ARCH 4604
,,5202,001,20901,1,Arch History II: 1750-Present,ARCH 5201
,,5302,001,21811,1,Environmental Syst Principles,ARCH 5301
