Section Prerequisites for Term: 202510,,,,,,,
,,,,,,,
Term,Subject,Course,Section,CRN,Part of Term,Title,Prerequisites
,,3111,090,21022,1,Construction Engineering,CEGR 3122 and CEGR 3255 and CEGR 3278
,,3122,001,20680,1,Structural Analysis,MEGR 2144 and MATH 2171
,,3141,001,20691,1,Intro to Environ Engineering,MATH 2171 and CHEM 1251 and CHEM 1251L and MEGR 2141
,,3143,001,20796,1,Hydraulics and Hydrology,MEGR 2141 and MATH 2171
,,3153,L01,20533,1,Transportation Lab,CEGR 3161
,,,L02,20534,1,Transportation Lab,CEGR 3161
,,3155,L01,20576,1,Environmental Lab,CHEM 1251 and CHEM 1251L and CEGR 3141
,,,L02,20577,1,Environmental Lab,CHEM 1251 and CHEM 1251L and CEGR 3141
,,3161,001,20573,1,Transportation Engineering I,MATH 2241 and CEGR 2102 and CEGR 2103 and MEGR 2141
,,3221,001,20683,1,Structural Steel Design I,CEGR 3122 and CEGR 3255
,,3225,001,20817,1,Reinforced Concrete Design I,CEGR 3122 and CEGR 3255
,,3233,090,27084,1,Land Development Engrng Studio,CEGR 3161
,,3235,001,22575,1,Lnd Dev Engnrng-Advncd Site An,CEGR 3153 and CEGR 3161
,,3255,L01,20649,1,Structural Materials Lab I,MEGR 2141 and MEGR 2144
,,,L02,20653,1,Structural Materials Lab I,MEGR 2141 and MEGR 2144
,,,L03,20654,1,Structural Materials Lab I,MEGR 2141 and MEGR 2144
,,,L04,22789,1,Structural Materials Lab I,MEGR 2141 and MEGR 2144
,,,L05,22790,1,Structural Materials Lab I,MEGR 2141 and MEGR 2144
,,,L06,22791,1,Structural Materials Lab I,MEGR 2141 and MEGR 2144
,,3258,L01,20678,1,Geotechnical Lab,CEGR 3278
,,,L02,20702,1,Geotechnical Lab,CEGR 3278
,,,L03,21531,1,Geotechnical Lab,CEGR 3278
,,3278,001,20679,1,Geotechnical Engineering,MATH 2171 and MEGR 2144
,,4122,001,22626,1,Power Plant Design,CEGR 2102 and CEGR 3122 and CEGR 3278
,,4144,001,24586,1,Engineering Hydrology,CEGR 3143
,,4222,001,20684,1,Structural Steel Design II,CEGR 3122 and CEGR 3221
,,4224,001,20686,1,Adv Structural Analysis,CEGR 3122
,,4242,001,21958,1,Wastewater Treatment Design,CEGR 3141
,,4262,001,20574,1,Traffic Engineering,CEGR 3161
,,4264,001,26677,1,Landfill Design,CEGR 3278 and CEGR 3258
,,4278,001,20642,1,Geotechnical Engineering II,CEGR 3278
,,5122,001,24407,1,Power Plant Design,CEGR 2102 and CEGR 3122 and CEGR 3278
,,5224,001,20687,1,Adv Structural Analysis,CEGR 3122
,,5278,001,26678,1,Geotechnical Engineering II,CEGR 3258 and CEGR 3278
,,6251,001,24502,1,Foundation Engineering,CEGR 3278
,,8161,001,24931,1,Traffic Control and Operation,CEGR 5161
,,8251,001,26679,1,Foundation Engineering,CEGR 3278
,,8254,001,26681,1,Experimental Soil Mechanics,CEGR 3278
,CHEM,1111L,M2B,21609,1,CHEM in Today's Society Lab,CHEM 1111
,,1204,001,20664,1,"Intro Gen, Org, and Biochem II",CHEM 1203
,,1204L,M1A,22782,1,"Intro Gen, Org, Biochem II Lab",CHEM 1203 and CHEM 1203L and CHEM 1204
,,,M2A,22796,1,"Intro Gen, Org, Biochem II Lab",CHEM 1203 and CHEM 1203L and CHEM 1204
,,,M3A,22174,1,"Intro Gen, Org, Biochem II Lab",CHEM 1203 and CHEM 1203L and CHEM 1204
,,,T1A,25115,1,"Intro Gen, Org, Biochem II Lab",CHEM 1203 and CHEM 1203L and CHEM 1204
,,,T2A,22797,1,"Intro Gen, Org, Biochem II Lab",CHEM 1203 and CHEM 1203L and CHEM 1204
,,,W2A,22783,1,"Intro Gen, Org, Biochem II Lab",CHEM 1203 and CHEM 1203L and CHEM 1204
,,1251,001,23041,1,General Chemistry I,Test MPLC or Test MATH or MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1241 or ENGR 1241 or CHEM 1200
,,,002,21601,1,General Chemistry I,Test MPLC or Test MATH or MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1241 or ENGR 1241 or CHEM 1200
,,,003,21602,1,General Chemistry I,Test MPLC or Test MATH or MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1241 or ENGR 1241 or CHEM 1200
,,,004,23320,1,General Chemistry I,Test MPLC or Test MATH or MATH 1100 or MATH 1101 or MATH 1103 or MATH 1120 or MATH 1241 or ENGR 1241 or CHEM 1200
,,1251L,M1E,21643,1,General Chemistry Lab I,CHEM 1251
,,,M1F,21458,1,General Chemistry Lab I,CHEM 1251
,,,M2D,20681,1,General Chemistry Lab I,CHEM 1251
,,,M2E,20575,1,General Chemistry Lab I,CHEM 1251
,,,M2F,21032,1,General Chemistry Lab I,CHEM 1251
,,,R1D,20584,1,General Chemistry Lab I,CHEM 1251
,,,R1E,21049,1,General Chemistry Lab I,CHEM 1251
,,,R1F,21012,1,General Chemistry Lab I,CHEM 1251
,,,R2D,26770,1,General Chemistry Lab I,CHEM 1251
,,,R2E,20821,1,General Chemistry Lab I,CHEM 1251
,,,R2F,20585,1,General Chemistry Lab I,CHEM 1251
,,,R3D,26771,1,General Chemistry Lab I,CHEM 1251
,,,T1D,20583,1,General Chemistry Lab I,CHEM 1251
,,,T1F,22787,1,General Chemistry Lab I,CHEM 1251
,,,T2D,25119,1,General Chemistry Lab I,CHEM 1251
,,,T2E,20682,1,General Chemistry Lab I,CHEM 1251
,,,T2F,25145,1,General Chemistry Lab I,CHEM 1251
,,,T9D,24673,1,General Chemistry Lab I,CHEM 1251
,,,W1D,20582,1,General Chemistry Lab I,CHEM 1251
,,,W1E,26772,1,General Chemistry Lab I,CHEM 1251
,,,W1F,26774,1,General Chemistry Lab I,CHEM 1251
,,,W2D,25104,1,General Chemistry Lab I,CHEM 1251
,,,W2E,21009,1,General Chemistry Lab I,CHEM 1251
,,,W2F,21008,1,General Chemistry Lab I,CHEM 1251
,,,W3D,21010,1,General Chemistry Lab I,CHEM 1251
,,1252,001,20813,1,General Chemistry II,CHEM 1251
,,,002,20663,1,General Chemistry II,CHEM 1251
,,,003,22039,1,General Chemistry II,CHEM 1251
,,1252L,M2C,22798,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,R1C,21303,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,R2B,27040,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,R2C,20677,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,R3C,24674,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,T1C,21775,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,T2C,22793,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,T3B,25035,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,T3C,22794,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,T9C,20587,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,W2B,26808,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,W2C,23401,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,W3B,26809,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,,W3C,26810,1,General Chemistry Lab II,CHEM 1251 and CHEM 1251L and CHEM 1252
,,2131,001,20530,1,Organic Chemistry I,CHEM 1251 and CHEM 1252
,,,002,20815,1,Organic Chemistry I,CHEM 1251 and CHEM 1252
,,,003,21441,1,Organic Chemistry I,CHEM 1251 and CHEM 1252
,,2131L,M1G,20590,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,M2G,21007,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,M3G,26850,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,R2G,26851,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,T2G,24670,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,W1G,24695,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,W2G,21779,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,,W3G,22788,1,Organic Chemistry Lab I,CHEM 1251 and CHEM 1251L and CHEM 1252 and CHEM 1252L and (CHEM 2131 or CHEM 2130)
,,2132,001,20531,1,Organic Chemistry II,CHEM 2131
,,,002,21028,1,Organic Chemistry II,CHEM 2131
,,2132L,M1H,20592,1,Organic Chemistry Lab II,CHEM 2131L and CHEM 2132
,,,M3H,27044,1,Organic Chemistry Lab II,CHEM 2131L and CHEM 2132
,,,R2H,23400,1,Organic Chemistry Lab II,CHEM 2131L and CHEM 2132
,,,T3H,24672,1,Organic Chemistry Lab II,CHEM 2131L and CHEM 2132
,,,W1H,21610,1,Organic Chemistry Lab II,CHEM 2131L and CHEM 2132
,,,W3H,21011,1,Organic Chemistry Lab II,CHEM 2131L and CHEM 2132
,,2141,001,20532,1,Survey of Physical Chemistry,CHEM 1252 and CHEM 1252L and (MATH 1120 or MATH 1241) and (PHYS 1101 or PHYS 2101)
,,3111,001,20826,1,Quantitative Analysis,CHEM 1252 and CHEM 1252L
,,,002,20844,1,Quantitative Analysis,CHEM 1252 and CHEM 1252L
,,,093,26857,1,Quantitative Analysis,CHEM 1252 and CHEM 1252L
,,3121,001,22044,1,Inorganic Chemistry,CHEM 2131
,,3142,001,20545,1,Physical Chemistry,CHEM 1252 and CHEM 1252L and CHEM 3141 and (MATH 1241 or ENGR 1241) and MATH 1242 and PHYS 2102 and PHYS 2102L and (MATH 2241 or MATH 2242 or MATH 2164 or MATH 2171 or STAT 3128)
,,3142L,001,20594,1,Physical Chemistry Lab,CHEM 3141L and (CHEM 3141 or CHEM 3142)
,,,002,20595,1,Physical Chemistry Lab,CHEM 3141L and (CHEM 3141 or CHEM 3142)
,,3695,001,20546,1,Chemistry Seminar I,CHEM 2131
,,,002,21139,1,Chemistry Seminar I,CHEM 2131
,,4111,001,20547,1,Instrumental Analysis,CHEM 3111 and CHEM 3141 and CHEM 3141L
,,,002,21770,1,Instrumental Analysis,CHEM 3111 and CHEM 3141 and CHEM 3141L
,,4133,001,20548,1,Meth Organic Struct Determ,CHEM 2132 and (CHEM 2132L or CHEM 2136L)
,,4165,001,20825,1,Prin of Biochemistry I,CHEM 2132
,,,002,22175,1,Prin of Biochemistry I,CHEM 2132
,,4166,001,20555,1,Prin of Biochemistry II,CHEM 4165
,,4695,001,20556,1,Chemistry Seminar II,CHEM 3695 and (CHEM 2132 or CHEM 2141 or CHEM 3111 or CHEM 3121 or CHEM 3141)
,,,H01,25990,1,Chemistry Seminar II,CHEM 3695 and (CHEM 2132 or CHEM 2141 or CHEM 3111 or CHEM 3121 or CHEM 3141)
,,4696,001,20557,1,Chemistry Seminar,CHEM 3695 and CHEM 4695
,,,H01,20558,1,Chemistry Seminar,CHEM 3695 and CHEM 4695
,,6103,001,26962,1,Syn & Characterization of Nano,NANO 8101 and NANO 8102
,CHES,4800,001,26875,1,LEADS Capstone Project,CHES 2600 or COSC 2600
,CHFD,2412,001,20945,1,Practicum I: Obsrv/Rec Behav,CHFD 2111
,,,002,20927,1,Practicum I: Obsrv/Rec Behav,CHFD 2111
,,3113,001,20463,1,Families-Core Partnerships,CHFD 2111 and CHFD 2113 and CHFD 2412
,,3114,090,20750,1,Resp App Infants & Toddlers,CHFD 3112
,,3115,090,21218,1,Eco App Lrn Dev:Erly Cd-Pre Ad,CHFD 2111 and CHFD 2113 and CHFD 2412
,,3414,001,21219,1,"Lang, Lit, & Math Thnkng Chldr",CHFD 3112
,CHNS,1202,001,20311,1,Elementary Chinese II,CHNS 1201
,,,002,25262,1,Elementary Chinese II,CHNS 1201
,,2202,001,25263,1,Intermediate Chinese II,CHNS 2201
,,3202,001,20315,1,Chinese Gramm and Convers,CHNS 3201 or FORL 3201
,,4050,001,26618,1,Topics in Chinese,CHNS 3202
,CJUS,2320,001,21723,1,Introduction to Courts,CJUS 1100 or CJUS 1511
,,,002,26212,1,Introduction to Courts,CJUS 1100 or CJUS 1511
,,2340,001,21710,1,Criminological Theory,CJUS 1100 or CJUS 1511
,,,002,21711,H1,Criminological Theory,CJUS 1100 or CJUS 1511
,,,003,22926,1,Criminological Theory,CJUS 1100 or CJUS 1511
,,,004,26213,1,Criminological Theory,CJUS 1100 or CJUS 1511
,,2350,001,21847,1,Intro to Corrections,CJUS 1100 or CJUS 1511
,,,002,24122,1,Intro to Corrections,CJUS 1100 or CJUS 1511
,,,003,27231,1,Intro to Corrections,CJUS 1100 or CJUS 1511
,,2360,001,21748,1,Ethics and the CJUS System,CJUS 1100 or CJUS 1511
,,,002,21721,1,Ethics and the CJUS System,CJUS 1100 or CJUS 1511
,,2361,001,21716,1,Juvenile Justice,CJUS 1100 or CJUS 1511
,,,002,27232,1,Juvenile Justice,CJUS 1100 or CJUS 1511
,,2370,001,21714,1,Rsch Methods in CJUS,CJUS 1100 or CJUS 1511
,,,002,27233,1,Rsch Methods in CJUS,CJUS 1100 or CJUS 1511
,,,003,22927,1,Rsch Methods in CJUS,CJUS 1100 or CJUS 1511
,,,004,26215,1,Rsch Methods in CJUS,CJUS 1100 or CJUS 1511
,,2380,001,21713,1,Intro to Law Enforcement,CJUS 1100 or CJUS 1511
,,,090,22928,1,Intro to Law Enforcement,CJUS 1100 or CJUS 1511
,,3000,001,21730,1,Topics in Criminal Justice,CJUS 1100 or CJUS 1511
,,,002,26880,1,Topics in Criminal Justice,CJUS 1100 or CJUS 1511
,,,003,22520,1,Topics in Criminal Justice,CJUS 1100 or CJUS 1511
,,,004,26908,1,Topics in Criminal Justice,CJUS 1100 or CJUS 1511
,,3320,001,23365,1,Criminal Justice and the Law,CJUS 2020 or CJUS 2320 or CJUS 3102 and (CJUS 1100 or CJUS 1511)
,,3321,001,21722,1,Criminal Procedure,CJUS 2320 or CJUS 2020 or CJUS 3102 and (CJUS 1100 or CJUS 1511)
,,3341,001,24727,1,The Criminal Offender,CJUS 1100 or CJUS 1511
,,3351,001,22471,1,Community Corrections,(CJUS 2050 or CJUS 2350 or CJUS 2154) and (CJUS 1100 or CJUS 1511)
,,3352,001,21749,1,Institutional Corrections,(CJUS 2050 or CJUS 2350 or CJUS 2154) and (CJUS 1100 or CJUS 1511)
,,3353,001,21750,1,Juvenile Corrections,(CJUS 2350 or CJUS 2050 or CJUS 2154) and (CJUS 1100 or CJUS 1511)
,,3354,090,21720,1,Punishment and Freedom,CJUS 1100 or CJUS 1511
,,3363,001,26907,1,Mediation & Conflict Resltn,CJUS 1100 or CJUS 1511
,,3366,001,26217,1,Domestic Violence,CJUS 1100 or CJUS 1511
,,3380,001,23333,1,Law Enforcement Behav Systems,(CJUS 2010 or CJUS 2380 or CJUS 2000) and (CJUS 1100 or CJUS 1511)
,,3800,002,26218,1,Directed Individual Study,CJUS 1100 or CJUS 1511
,,4351,001,27234,1,Violence & Violent Offender,CJUS 1100 or CJUS 1511
,,4352,001,26219,H1,Serial Murder,CJUS 1100 or CJUS 1511
,,,002,26220,H2,Serial Murder,CJUS 1100 or CJUS 1511
,,4360,001,22082,1,"Drugs, Crime, & CJUS System",CJUS 1100 or CJUS 1511
,,4363,001,22475,1,"Gender, Race, and Justice",CJUS 1100 or CJUS 1511
,,4370,001,21715,1,Data Analytics and Crime,CJUS 1100 or CJUS 1511
,,4373,001,24171,1,Intelligence Analysis,CJUS 1100 or CJUS 1511
,,4375,001,21758,1,Comm Police & Crime Analysis,CJUS 1100 or CJUS 1511
,,,003,26227,1,Comm Police & Crime Analysis,CJUS 1100 or CJUS 1511
,,4377,001,21728,1,Crime Measurement,CJUS 1100 or CJUS 1511
,,4379,001,26228,1,Qual Analysis in CJ,CJUS 1100 or CJUS 1511
,,4701,001,26230,1,CJUS Honors Thesis II,(CJUS 1100 or CJUS 1511) and CJUS 4700
,,6902,003,21171,1,Thesis II,CJUS 6901
,CMET,2105,002,26157,1,Plan Reading,ETCE 1222 and CMET 1400 and MATH 1103
,,2135,001,23387,1,Building Information Modeling,ETCE 1104
,,2175,001,26290,1,Survey of Structures,ETGR 2101 and ETCE 2221
,,2221,001,26160,1,Construction Means & Methods,ETCE 1222 and CMET 1400
,,3123,001,21724,1,Cost Estimating,CMET 2105 and CMET 2105L and CMET 2221
,,3124,001,26161,1,Cost Estimating II,CMET 3123
,,4130,001,22000,1,Infrastructure Systems,ETCE 3131 and CMET 3123
,,4135,001,26164,1,Construction Technologies,CMET 3123 and CMET 3126 and CMET 3224
,COMM,2102,001,26683,1,Advanced Public Speaking,COMM 1101
,,2145,001,20175,1,Prin of Public Relations,JOUR 2100
,,3051,001,21572,1,Topics in Health Communication,COMM 3115 or AFRS 2170
,,3052,001,21225,1,Topics in Media & Tech Studies,COMM 3120
,,,002,21377,1,Topics in Media & Tech Studies,COMM 3120
,,,003,22188,1,Topics in Media & Tech Studies,COMM 3120
,,,005,23239,1,Topics in Media & Tech Studies,COMM 3120
,,,090,23210,1,Topics in Media & Tech Studies,COMM 3120
,,,091,22763,1,Topics in Media & Tech Studies,COMM 3120
,,,092,26687,1,Topics in Media & Tech Studies,COMM 3120
,,3100,001,20176,1,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,002,21031,1,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,003,22655,1,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,004,20177,1,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,005,20885,1,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
,,,006,25921,1,Comm Research Methods,COMM 2100 and (STAT 1220 or STAT 1221 or STAT 1222)
,,3115,001,20180,H1,Health Communication,COMM 2100 or HLTH 2101 or AFRS 2170
,,,002,26138,1,Health Communication,COMM 2100 or HLTH 2101 or AFRS 2170
,,3120,001,21808,1,"Media, Technology & Comm",COMM 2100
,,,002,20181,1,"Media, Technology & Comm",COMM 2100
,,,003,20182,1,"Media, Technology & Comm",COMM 2100
,,3130,001,20186,1,Rhetoric and Public Culture,COMM 2100
,,3141,001,20189,1,Organizational Communication,COMM 2100
,,3142,001,22069,1,Applications in Org Comm,COMM 3141
,,3160,001,22716,1,Business Communications,INFO 2130
,,,002,20830,1,Business Communications,INFO 2130
,,,003,20831,1,Business Communications,INFO 2130
,,,004,20832,1,Business Communications,INFO 2130
,,,005,20833,1,Business Communications,INFO 2130
,,,006,20834,1,Business Communications,INFO 2130
,,,007,20835,H1,Business Communications,INFO 2130
,,,008,20836,1,Business Communications,INFO 2130
,,,009,20837,1,Business Communications,INFO 2130
,,,010,20838,1,Business Communications,INFO 2130
,,,011,20839,1,Business Communications,INFO 2130
,,,012,20840,1,Business Communications,INFO 2130
,,,013,21573,1,Business Communications,INFO 2130
,,,014,21606,1,Business Communications,INFO 2130
,,,015,21821,1,Business Communications,INFO 2130
,,,016,21822,1,Business Communications,INFO 2130
,,,017,23435,1,Business Communications,INFO 2130
,,,018,26692,1,Business Communications,INFO 2130
,,,019,27361,1,Business Communications,INFO 2130
,,,090,21430,1,Business Communications,INFO 2130
,,,091,21431,1,Business Communications,INFO 2130
,,,092,22077,1,Business Communications,INFO 2130
,,,093,23227,1,Business Communications,INFO 2130
,,,H01,22132,1,Business Communications,INFO 2130
,,,H02,22133,1,Business Communications,INFO 2130
,,3245,090,21574,1,Public Relations Writing,JOUR 2100 and JOUR 2160 and COMM 2145
,,,091,23031,1,Public Relations Writing,JOUR 2100 and JOUR 2160 and COMM 2145
,,3403,090,24596,1,Forensics Practicum,COMM 2103
,,3880,003,20191,1,Independent Study,COMM 1101
,,3891,001,22966,1,Honors Thesis II,COMM 3890
,,4141,001,21452,1,Adv Organizational Comm,COMM 3141
,,4145,001,20192,1,Communication Campaigns,COMM 3245 and COMM 2145
,,,090,23966,1,Communication Campaigns,COMM 3245 and COMM 2145
,,4615,001,24597,H1,Seminar in Health Comm,COMM 3115
,,4652,001,24282,1,Adv Sem Media & Tech Studies,COMM 3120
,,,002,24284,1,Adv Sem Media & Tech Studies,COMM 3120
,,6999,001,25782,1,Thesis,COMM 6100 and COMM 6101
,COSC,4800,001,26877,1,LEADS Capstone Project,CHES 2600 or COSC 2600
,CSLG,6111,001,21856,1,Adv Counseling Techniques,CSLG 6100 and CSLG 6110
,,,090,20421,1,Adv Counseling Techniques,CSLG 6100 and CSLG 6110
,,6120,001,21620,1,Group Counseling,CSLG 6110
,,,090,20422,1,Group Counseling,CSLG 6110
,,7143,090,20915,1,Child-Centered Relation. Trng.,CSLG 7142
,,7430,001,20429,1,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
,,,003,20738,1,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
,,,004,21625,1,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
,,,005,22421,1,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
,,,090,20430,1,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
,,,091,20431,1,Practicum in Counseling,CSLG 6100 and CSLG 6101 and CSLG 6110 and CSLG 7142
,,7435,001,21518,1,Internship in Counseling,CSLG 7430 and CSLG 7142
,,,002,20829,1,Internship in Counseling,CSLG 7430 and CSLG 7142
,,,003,22322,1,Internship in Counseling,CSLG 7430 and CSLG 7142
,,,091,20432,1,Internship in Counseling,CSLG 7430 and CSLG 7142
,,,093,22323,1,Internship in Counseling,CSLG 7430 and CSLG 7142
,,8443,001,21997,1,Doctoral Internship: Research,CSLG 8105
,,,002,25051,1,Doctoral Internship: Research,CSLG 8105
,CTCM,2530,001,23861,1,Critical Thinking & Comm,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,002,23981,1,Critical Thinking & Comm,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,003,24374,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,015,24096,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,016,24097,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,017,24098,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,110,24230,1,Critical Thinking & Comm,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,111,24223,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,112,23742,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,136,24078,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,137,24079,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,138,24080,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,200,23786,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,201,23778,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,202,23779,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,203,23780,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,236,24640,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,245,25368,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,246,23590,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,247,25369,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,248,27467,H2,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,260,23959,1,Interdisciplinary Critical Thi,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,338,23996,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,339,23997,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,341,23999,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,342,23998,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,400,24041,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,401,24043,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,403,24045,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,404,24046,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,405,24047,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,406,26319,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,435,26079,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,436,26081,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,437,26082,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,438,26083,1,Critical Thinking,(WRDS 1103 or UWRT 1103 or ENGL 1103) or (WRDS 1104 or UWRT 1104)
,,,625,23648,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,626,23649,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
,,,627,23650,1,Critical Thinking,(WRDS 1103 or ENGL 1103 or UWRT 1103) or (WRDS 1104 or UWRT 1104)
